,1,2,3,4,5,6,7,class
0,0.63,,,0.50,0.35,,0.49,7
1,,,,,0.39,,0.42,0
2,0.36,,0.48,,0.53,,0.41,0
3,,0.28,,,,0.42,,0
4,,,0.48,0.50,0.22,0.16,,0
5,,0.71,,0.50,0.41,,,7
6,,0.33,,0.50,0.57,0.77,,4
7,,,0.48,0.50,,0.31,,7
8,,,,,0.43,0.26,,0
9,,,,0.50,,,0.92,1
10,,0.46,,0.50,0.45,,,1
11,,0.52,0.48,0.50,0.54,0.67,0.52,1
12,,,0.48,0.50,,,0.32,0
13,0.65,0.55,,0.50,,0.37,,0
14,0.16,,,,0.33,0.39,,1
15,,,0.48,,0.84,0.45,,5
16,,,0.48,,,0.27,0.37,0
17,0.34,,0.48,0.50,,0.85,,1
18,,0.49,,0.50,,0.76,0.79,4
19,,,,0.50,,0.27,0.37,0
20,,0.46,0.48,0.50,0.52,,0.56,0
21,0.69,0.80,,,0.46,,0.26,7
22,0.63,0.86,0.48,,0.39,,,7
23,,0.34,,0.50,0.30,,,0
24,0.28,,,,,,0.33,0
25,0.37,,0.48,0.50,,0.36,,0
26,0.42,,,,0.58,,,0
27,,0.34,0.48,0.50,0.46,,,0
28,,,,,,,,0
29,,,,0.50,,,,7
30,0.50,,0.48,,0.27,0.23,0.34,0
31,,0.40,0.48,0.50,,0.70,0.74,1
32,,,,,0.54,0.52,0.59,0
33,,0.44,0.48,,0.46,0.51,,0
34,0.44,,0.48,,0.55,,,0
35,,,,0.50,0.41,,,7
36,,0.37,0.48,0.50,0.54,0.64,0.68,4
37,0.12,0.67,,,0.74,,,1
38,0.69,,,0.50,,0.48,0.41,7
39,0.81,0.53,0.48,0.50,,0.87,,4
40,0.79,,,,0.50,,,4
41,0.43,,0.48,,,0.31,,0
42,,,0.48,,0.48,,,1
43,0.47,,,,0.52,0.76,0.79,1
44,,,,,0.44,0.17,0.29,0
45,0.63,,,0.50,,0.39,,7
46,,,,1.00,,0.47,,3
47,0.50,0.57,0.48,0.50,,,,1
48,,,,0.50,,0.33,,0
49,0.64,0.84,,0.50,0.37,,,7
50,,,0.48,,,,0.52,0
51,,,0.48,,0.51,,0.33,5
52,,,0.48,0.50,,,0.44,0
53,,,0.48,0.50,0.64,,,1
54,,,,,0.39,,,1
55,,,0.48,,,0.39,0.39,7
56,0.86,0.55,0.48,0.50,0.63,,,4
57,,,0.48,0.50,0.48,0.47,0.54,0
58,,,0.48,,,,0.41,0
59,0.63,0.75,0.48,,,,0.66,1
60,0.21,,,0.50,,,0.41,0
61,,0.44,,0.50,0.37,,,0
62,,0.78,,0.50,0.50,,,7
63,,0.48,,0.50,0.51,0.44,0.51,0
64,,,0.48,0.50,,0.23,0.34,0
65,0.73,,0.48,,0.58,0.51,0.31,7
66,0.31,,,0.50,0.57,0.84,,1
67,,0.40,,0.50,,0.37,,0
68,0.62,,0.48,0.50,,,,7
69,,0.26,,,,,0.78,4
70,,,,,,0.37,,7
71,0.36,,0.48,0.50,,,0.17,1
72,,,0.48,,,0.46,,0
73,,0.70,,0.50,,0.65,,1
74,0.44,0.49,,,,,,0
75,,,,0.50,,,0.47,0
76,,,0.48,0.50,,,,7
77,0.35,0.37,,,0.30,0.34,,0
78,0.51,,0.48,0.50,0.35,0.36,0.45,0
79,0.25,0.37,0.48,0.50,0.43,0.26,,0
80,,0.42,,0.50,,0.29,0.39,0
81,,0.49,,,0.54,0.76,0.79,2
82,0.72,0.42,,0.50,0.65,,,4
83,,0.50,,0.50,,0.85,0.86,1
84,0.74,0.56,,,0.47,0.68,0.30,7
85,,0.46,0.48,0.50,,,,1
86,,,1.00,0.50,0.77,0.59,0.52,5
87,,,,,,0.65,0.69,1
88,0.47,,0.48,0.50,,0.20,,0
89,,,0.48,,0.48,0.73,0.76,4
90,0.64,0.81,,,0.37,,0.44,7
91,0.11,,0.48,0.50,,,0.68,1
92,,,0.48,,0.52,,0.75,1
93,0.31,0.47,,,,0.28,0.39,0
94,,,,0.50,,,0.68,4
95,0.64,,0.48,,,,0.38,0
96,0.68,0.78,0.48,,0.43,,0.42,7
97,,,,,,,0.39,0
98,,0.49,,0.50,,,0.71,1
99,0.59,,0.48,0.50,0.52,0.45,,0
100,,,0.48,,,0.67,,1
101,,0.40,,,,0.33,,0
102,,,0.48,0.50,0.58,0.31,,0
103,0.30,,0.48,,,,0.30,0
104,,0.42,,0.50,0.41,,,0
105,0.67,0.39,,,,0.38,,0
106,0.67,,,0.50,,,0.33,7
107,,0.34,,0.50,0.42,,,0
108,,0.35,,0.50,0.55,0.55,,0
109,,,,,0.51,,,1
110,0.73,0.36,0.48,,,,0.92,1
111,,,,0.50,0.58,,,1
112,,,0.48,,0.38,,0.44,0
113,,0.49,0.48,,,,0.74,4
114,0.54,0.57,,,,,,1
115,0.42,,0.48,,0.54,0.34,,0
116,0.61,0.60,0.48,0.50,0.44,0.39,0.38,7
117,,,,0.50,0.38,0.65,,7
118,0.40,0.29,0.48,,,,,0
119,0.23,0.48,0.48,,,,0.89,1
120,0.61,,,0.50,0.49,0.35,0.44,0
121,,,,0.50,,,0.53,0
122,0.00,0.51,,0.50,0.35,0.67,0.44,1
123,0.31,0.36,0.48,,,0.94,,1
124,0.32,,,,0.53,0.28,0.38,7
125,,,0.48,0.50,0.56,,,1
126,0.75,,,0.50,0.35,0.52,0.33,7
127,0.33,,,,,,,1
128,,0.39,,0.50,0.52,0.40,,7
129,0.84,,,0.50,0.75,0.92,,4
130,0.77,,,0.50,,,,4
131,0.56,,0.48,,0.77,0.36,,5
132,0.54,,,0.50,,,0.88,1
133,,,0.48,0.50,0.34,,0.36,7
134,0.49,,,,,,0.35,0
135,,,,,0.49,,,1
136,0.34,0.28,0.48,0.50,,,,0
