,i,j
0,0,878
1,0,1044
2,0,5592
3,0,7136
4,0,13942
5,1,2443
6,1,7859
7,1,9699
8,2,9971
9,2,10985
10,2,15072
11,3,7749
12,4,13544
13,5,812
14,5,12468
15,6,267
16,6,1628
17,6,1716
18,6,2650
19,6,3009
20,6,3964
21,6,6072
22,6,6197
23,6,6796
24,6,6835
25,6,7191
26,6,8161
27,6,8481
28,6,8732
29,6,9765
30,6,11598
31,6,13155
32,6,13156
33,6,16220
34,6,16784
35,6,17621
36,6,18114
37,7,1068
38,7,1088
39,7,1519
40,7,1843
41,7,3558
42,7,5064
43,7,5742
44,7,7835
45,7,9743
46,7,14188
47,7,14254
48,7,14343
49,7,15077
50,7,16854
51,7,17455
52,7,17925
53,7,19376
54,8,2657
55,9,18378
56,9,956
57,9,7375
58,9,7456
59,9,8415
60,9,10686
61,9,12164
62,9,16122
63,9,19447
64,10,2724
65,10,2787
66,10,5079
67,10,6131
68,10,11626
69,10,13971
70,11,18813
71,12,18546
72,12,363
73,12,548
74,12,2117
75,12,8866
76,12,10462
77,12,11611
78,12,12097
79,12,17389
80,12,19494
81,13,13440
82,14,2001
83,15,3942
84,15,6767
85,15,11252
86,15,12941
87,15,17288
88,15,17678
89,16,299
90,16,2158
91,16,3532
92,16,3602
93,16,4009
94,16,4579
95,16,7480
96,16,7912
97,16,8306
98,16,9005
99,16,9633
100,16,9675
101,16,10212
102,16,10469
103,16,11158
104,16,11265
105,16,11493
106,16,12554
107,16,13510
108,16,14557
109,16,14926
110,16,15469
111,16,15669
112,16,16054
113,16,16177
114,16,18046
115,16,19124
116,16,19211
117,16,19426
118,17,3181
119,17,6604
120,17,6880
121,17,7445
122,17,9267
123,17,16500
124,18,739
125,18,1343
126,18,2929
127,18,7665
128,18,9326
129,18,10634
130,18,14268
131,18,18928
132,19,4184
133,19,5700
134,19,5940
135,19,7896
136,19,8881
137,19,10250
138,19,18902
139,19,19056
140,20,16815
141,21,7209
142,21,8713
143,22,6807
144,22,18734
145,23,10101
146,24,250
147,24,7233
148,24,7629
149,24,15684
150,25,2347
151,26,18636
152,26,6441
153,26,8943
154,26,12410
155,26,17431
156,27,12631
157,27,18075
158,27,19402
159,28,17540
160,29,3346
161,29,6294
162,30,9187
163,31,16126
164,32,238
165,33,3598
166,34,11262
167,34,15729
168,34,18839
169,35,1567
170,35,1837
171,35,2040
172,35,2068
173,35,3297
174,35,5493
175,35,5924
176,35,5960
177,35,6448
178,35,7043
179,35,8450
180,35,9740
181,35,12618
182,35,13601
183,35,13618
184,35,15946
185,35,17625
186,36,18269
187,37,7593
188,38,9191
189,38,11958
190,38,17288
191,38,19137
192,39,2837
193,40,821
194,40,4558
195,40,9498
196,40,14625
197,40,15198
198,40,15625
199,40,15957
200,40,18821
201,41,18514
202,41,15235
203,41,18072
204,41,18765
205,42,3976
206,43,5305
207,44,4217
208,45,15077
209,46,1701
210,46,2123
211,46,4725
212,46,5474
213,46,7422
214,46,8432
215,46,10950
216,46,11943
217,46,13146
218,46,16263
219,46,16379
220,47,18252
221,47,177
222,47,1677
223,47,1982
224,47,2511
225,47,3117
226,47,3524
227,47,3629
228,47,4364
229,47,4927
230,47,6105
231,47,6333
232,47,6610
233,47,7391
234,47,7762
235,47,10075
236,47,10135
237,47,11913
238,47,12208
239,47,12509
240,47,12680
241,47,12810
242,47,12975
243,47,13915
244,47,14507
245,47,14935
246,47,15141
247,47,15742
248,47,15884
249,47,17417
250,47,17666
251,48,1620
252,48,2145
253,48,2402
254,48,4251
255,48,5577
256,48,5847
257,48,7604
258,48,8208
259,48,8909
260,48,9330
261,48,10584
262,48,11602
263,48,11808
264,48,14614
265,48,16028
266,48,17149
267,48,18870
268,48,18903
269,49,5293
