,variance,skewness,curtosis,entropy,class
0,1.7425,3.6833,-4.0129,-1.7207,1
1,2.031,1.852,-3.0121,0.003003,1
2,4.0047,0.45937,1.3621,1.6181,0
3,1.4501,3.6067,-4.0557,-1.5966,1
4,-3.6053,-5.974,10.0916,-0.82846,1
5,-6.5084,8.7696,0.23191,-3.937,1
6,-2.41,3.7433,-0.40215,-1.2953,1
7,-1.3612,10.694,1.7022,-2.9026,0
8,-0.28696,3.1784,-3.5767,-3.1896,1
9,1.143,0.83391,5.4552,-0.56984,0
10,4.9294,0.27727,0.20792,0.33662,0
11,2.9736,8.7944,-3.6359,-1.3754,0
12,1.8533,6.1458,1.0176,-2.0401,0
13,1.8967,-2.5163,2.8093,-0.79742,0
14,-3.3125,0.10139,0.55323,-0.2957,1
15,-1.8782,-6.5865,4.8486,-0.021566,1
16,-0.30432,2.6528,-2.7756,-0.65647,1
17,0.31803,-0.99326,1.0947,0.88619,1
18,3.4312,6.2637,-1.9513,-0.36165,0
19,-2.0754,1.2767,-0.64206,-1.2642,1
20,5.1776,8.2316,-3.2511,-1.5694,0
21,-0.28015,3.0729,-3.3857,-2.9155,1
22,-3.8953,4.0392,-0.3019,-2.1836,1
23,4.9342,2.4107,-0.17594,1.6245,0
24,-0.11783,-1.5789,8.03,-0.028031,0
25,-2.3361,11.9604,3.0835,-5.4435,0
26,-4.2859,8.5234,3.1392,-0.91639,0
27,0.51947,-3.2633,3.0895,-0.98492,0
28,0.47368,3.3605,-4.5064,-4.0431,1
29,-2.3299,-9.9532,8.4756,-1.8733,1
30,-1.6706,-2.09,1.584,0.71162,1
31,-0.8734,1.6533,-2.1964,-0.78061,1
32,-2.4349,-9.2497,8.9922,-0.50001,1
33,1.4507,8.7903,-2.2324,-0.65259,0
34,-3.5741,3.944,-0.07912,-2.1203,1
35,1.3349,6.1189,0.46497,0.49826,0
36,3.8584,0.78425,1.1033,1.7008,0
37,2.4391,6.4417,-0.80743,-0.69139,0
38,-1.8391,-9.0883,9.2416,-0.10432,1
39,-1.8411,10.8306,2.769,-3.0901,0
40,3.5862,-3.0957,2.8093,0.24481,0
41,2.229,9.6325,-3.1123,-2.7164,0
42,3.866,-2.6383,1.9242,0.10645,0
43,-2.0066,-6.719,9.0162,0.099985,1
44,-2.3898,-0.78427,3.0141,0.76205,1
45,4.0552,-2.4583,2.2806,1.0323,0
46,2.093,8.3061,0.022844,-3.2724,0
47,1.9572,-5.1153,8.6127,-1.4297,0
48,0.29961,7.1328,-0.31475,-1.1828,0
49,-0.49241,0.89392,-1.6283,-0.56854,1
50,-3.5801,-12.9309,13.1779,-2.5677,1
51,-5.637,8.1261,0.13081,-5.0142,1
52,0.049175,6.1437,1.7828,-0.72113,0
53,3.5288,0.71596,1.9507,1.9375,0
54,4.7181,10.0153,-3.9486,-3.8582,0
55,-6.3364,9.2848,0.014275,-6.7844,1
56,3.4916,8.5709,-3.0326,-0.59182,0
57,-0.38388,-1.0471,8.0514,0.49567,0
58,2.0597,-0.99326,5.2119,-0.29312,0
59,5.8519,5.3905,-2.4037,-0.061652,0
60,0.65497,5.1815,1.0673,-0.42113,0
61,3.2697,-4.3414,3.6884,-0.29829,0
62,0.20216,1.9182,-3.2828,-0.61768,1
63,0.23874,2.0879,-3.3522,-0.66553,1
64,2.3164,-2.628,3.1529,-0.08622,0
65,-2.565,-5.7899,6.0122,0.046968,1
66,0.4283,-0.94981,-1.0731,0.3211,1
67,-1.3,10.2678,-2.953,-5.8638,0
68,-3.9698,3.6812,-0.60008,-4.0133,1
69,-1.4094,-2.1252,-0.10397,-0.19225,1
70,4.8272,3.0687,0.68604,0.80731,0
71,4.6689,1.3098,0.055404,1.909,0
72,2.7961,2.121,1.8385,0.38317,0
73,-1.4106,-7.108,5.6454,0.31335,1
74,-2.6479,10.1374,-1.331,-5.4707,0
75,-2.5419,-0.65804,2.6842,1.1952,1
76,0.86736,5.5643,1.6765,-0.16769,0
77,1.3234,3.2964,0.2362,-0.11984,0
78,1.5631,0.89599,-1.9702,0.65472,1
79,-3.2305,-7.2135,11.6433,-0.94613,1
80,-1.2846,3.2715,-1.7671,-3.2608,1
81,-5.3012,7.3915,0.029699,-7.3987,1
82,-0.7351,1.7361,-1.4938,-1.1582,1
83,2.4235,9.5332,-3.0789,-2.7746,0
84,-0.81479,-5.7381,4.3919,0.3211,1
85,-4.1409,3.4619,-0.47841,-3.8879,1
86,4.5597,-2.4211,2.6413,1.6168,0
87,1.3419,-4.4221,8.09,-1.7349,0
88,-6.3979,6.4479,1.0836,-6.6176,1
89,4.8278,7.7598,-2.4491,-1.2216,0
90,4.5447,8.2274,-2.4166,-1.5875,0
91,-2.3629,-0.10554,1.9336,1.1358,1
92,5.504,10.3671,-4.413,-4.0211,0
93,0.21431,-0.69529,0.87711,0.29653,1
94,-0.21661,8.0329,1.8848,-3.8853,0
95,-4.4861,-13.2889,17.3087,-3.2194,1
96,0.61652,3.8944,-4.7275,-4.3948,1
97,-2.4941,3.5447,-1.3721,-2.8483,1
98,-3.2778,1.8023,0.1805,-2.3931,1
99,-0.17296,-1.1816,1.3818,0.7336,1
100,-5.4414,7.2363,0.10938,-7.5642,1
101,-1.9881,0.99945,-0.28562,-0.70044,1
102,5.8782,5.9409,-2.8544,-0.60863,0
103,-5.119,6.6486,-0.049987,-6.5206,1
104,-0.0012852,0.13863,-0.19651,0.0081754,1
105,-1.6176,1.0926,-0.35502,-0.59958,1
106,3.6941,-3.9482,4.2625,1.1577,0
107,-0.27068,3.2674,-3.5562,-3.0888,1
108,-3.0799,0.60836,2.7039,-0.23751,1
109,0.3292,-4.4552,4.5718,-0.9888,0
110,2.0007,1.8644,2.6491,0.47369,0
111,3.7321,-3.884,3.3577,-0.0060486,0
112,0.75896,0.29176,-1.6506,0.83834,1
113,0.7049,0.17174,-1.7859,0.36119,1
114,-5.873,9.1752,-0.27448,-6.0422,1
115,1.0284,9.767,-1.3687,-1.7853,0
116,-1.8046,-6.8141,6.7019,1.1681,1
117,0.2952,4.8856,-5.149,-6.2323,1
118,2.8261,9.4007,-3.3034,-1.0509,0
119,-1.0833,-0.31247,1.2815,0.41291,1
120,-0.539,-5.167,3.4399,0.052141,1
121,-4.8426,-4.9932,10.4052,-0.53104,1
122,1.1518,1.3864,5.2727,-0.43536,0
123,3.7982,10.423,-4.1602,-4.9728,0
124,-6.2815,6.6651,0.52581,-7.0107,1
125,-0.4294,-0.14693,0.044265,-0.15605,1
126,1.4896,3.4288,-4.0309,-1.4259,1
127,2.4673,1.3926,1.7125,0.41421,0
128,-0.77461,-1.8768,2.4023,1.1319,1
129,-0.77688,0.13036,-0.031137,-0.35389,1
130,3.757,-5.4236,3.8255,-1.2526,0
131,-2.1652,3.0211,-2.4132,-2.4241,1
132,5.0452,3.8964,-1.4304,0.86291,0
133,1.0235,6.901,-2.0062,-2.7125,0
134,-3.38,-0.7077,2.5325,0.71808,1
135,-0.24745,1.9368,-2.4697,-0.80518,1
136,1.8314,6.3672,-0.036278,0.049554,0
137,-0.72068,-6.7583,5.8408,0.62369,1
138,-1.1391,1.8127,6.9144,0.70127,0
139,-1.4217,11.6542,-0.057699,-7.1025,0
140,3.931,1.8541,-0.023425,1.2314,0
141,-2.9662,-10.3257,8.784,-2.1138,1
142,1.9105,8.871,-2.3386,-0.75604,0
143,3.2051,8.6889,-2.9033,-0.7819,0
144,4.364,-3.1039,2.3757,0.78532,0
145,-2.0046,-0.49457,1.333,1.6543,1
146,2.1948,1.3781,1.1582,0.85774,0
147,2.8232,10.8513,-3.1466,-3.9784,0
148,3.9529,-2.3548,2.3792,0.48274,0
149,-1.2528,10.2036,2.1787,-5.6038,0
150,3.3577,-4.3062,6.0241,0.18274,0
151,-4.2249,6.2699,0.15822,-5.5457,1
152,3.744,0.79459,0.95851,1.0077,0
153,4.5679,3.1929,-2.1055,0.29653,0
154,-3.6961,-13.6779,17.5795,-2.6181,1
155,3.5499,8.6165,-3.2794,-1.2009,0
156,-0.2361,9.3221,2.1307,-4.3793,0
157,-2.7419,11.4038,2.5394,-5.5793,0
158,-0.26654,-0.64562,-0.42014,0.89136,1
159,-1.8448,1.254,0.27218,-1.0728,1
160,-4.0786,2.9239,0.87026,-0.65389,1
161,4.0715,7.6398,-2.0824,-1.1698,0
162,0.96574,8.393,-1.361,-1.4659,0
163,1.5356,9.1772,-2.2718,-0.73535,0
164,3.7791,2.5762,1.3098,0.5655,0
165,3.5189,6.332,-1.7791,-0.020273,0
166,-2.5701,-6.8452,8.9999,2.1353,1
167,2.1721,-0.73874,5.4672,-0.72371,0
168,-1.7279,-6.841,8.9494,0.68058,1
169,2.5227,2.2369,2.7236,0.79438,0
170,1.7496,-0.1759,5.1827,1.2922,0
171,-4.2932,3.3419,0.77258,-0.99785,1
172,0.5734,9.1938,-0.9094,-1.872,0
173,4.9249,0.68906,0.77344,1.2095,0
174,3.245,6.63,-0.63435,0.86937,0
175,-1.4174,-2.2535,1.518,0.61981,1
176,1.5456,8.5482,0.4187,-2.1784,0
177,-0.91318,-2.0113,-0.19565,0.066365,1
178,-3.3863,-12.9889,13.0545,-2.7202,1
179,3.5761,9.7753,-3.9795,-3.4638,0
180,0.2346,-4.5152,2.1195,1.4448,1
181,-2.9821,4.1986,-0.5898,-3.9642,1
182,2.6104,8.0081,-0.23592,-1.7608,0
183,-1.8348,11.0334,3.1863,-4.8888,0
184,-1.2244,1.7485,-1.4801,-1.4181,1
185,1.6472,0.48213,4.7449,1.225,0
186,0.64295,7.1018,0.3493,-0.41337,0
187,-2.0441,1.2271,0.18564,-1.091,1
188,2.3718,7.4908,0.015989,-1.7414,0
189,-0.036127,1.525,-1.4089,-0.76121,1
190,-1.5768,10.843,2.5462,-2.9362,0
191,3.8213,0.23175,2.0133,2.0564,0
192,-0.2062,9.2207,-3.7044,-6.8103,0
193,2.7161,-4.2006,4.1914,0.16981,0
194,2.0922,-6.81,8.4636,-0.60216,0
195,1.1432,-3.7413,5.5777,-0.63578,0
196,5.4021,3.1039,-1.1536,1.5651,0
197,4.7114,2.0755,-0.2702,1.2379,0
198,4.7432,2.1086,0.1368,1.6543,0
199,-1.5075,1.9224,7.1466,0.89136,0
200,-1.5951,-6.572,4.7689,-0.94354,1
201,0.3798,0.7098,0.7572,-0.4444,0
202,-1.9116,-6.1603,5.606,0.48533,1
203,0.54777,10.3754,-1.5435,-4.1633,0
