,variance,skewness,curtosis,entropy,class
0,3.0934,,,0.22283000000000003,0
1,-2.2261,,2.9438,,0
2,,10.9279,-4.0112,-5.0284,0
3,3.9294,1.4112,1.8076,,0
4,0.23874,2.0879,,-0.6655300000000001,1
5,-1.8439,-8.6475,7.6796,,1
6,,,8.347000000000001,-2.7099,0
7,,-8.4385,8.8483,0.9689399999999999,1
8,-1.9725,2.8825,-2.3086,,1
9,,7.528,,,0
10,0.5195,-3.2633,,-0.9849,0
11,,-0.080711,-0.75774,,1
12,,3.2922,,-3.4392,1
13,5.4188,,-4.084,-3.6991,0
14,4.7965,6.9859,,,0
15,-1.6386,3.3584,-1.7302,,1
16,,,,,0
17,,,7.5339,1.022,0
18,1.04,,8.2888,,0
19,-1.2568,,2.8718,,1
20,-2.799,1.9679,,-2.1125,1
21,,6.1189,0.46497,,0
22,,,,0.8241200000000001,1
23,3.404,8.7261,-2.9915,,0
24,4.3846,,,,0
25,,-6.7748,8.3873,,0
26,-1.6677,,,,1
27,4.7285,2.1065,,1.5625,0
28,,7.795,,-0.9254399999999999,0
29,-0.539,,3.4399,0.052141,1
30,-1.2244,,-1.4801,,1
31,,3.8385,-0.7954399999999999,-1.2138,1
32,3.3951,,2.1401,,0
33,-2.3629,-0.10554000000000001,,,1
34,0.5706,,1.2421,-0.5621,0
35,,-0.14693,0.044265,,1
36,3.2032,,,,0
37,,,,,0
38,-1.1667,,,0.6611899999999999,1
39,,,,0.64955,1
40,4.6439,-3.3729,,0.55257,0
41,1.5673,7.9274,,-2.1694,0
42,2.1274,,,-1.1763,0
43,-0.9592299999999999,,4.9857,0.32886,1
44,-4.8426,-4.9932,,-0.53104,1
45,,,1.6277,0.77627,0
46,0.75736,,,,0
47,,,,,0
48,,12.9516,3.3285,-5.9426,0
49,3.4092,,-2.5228,-0.8995799999999999,0
50,0.24394000000000002,1.4733,-1.4192,,1
51,1.8114,7.6067,-0.9788,,0
52,-2.4554,,8.862,-0.8698299999999999,1
53,2.0193,0.8235600000000001,4.6369,,0
54,,-5.974,10.0916,,1
55,,-0.8091,,,0
56,-2.1668,1.5933,,-1.6780000000000002,1
57,,8.5978,-2.9375,,0
58,,,0.5112399999999999,,0
59,-0.8980899999999999,,2.2009,,1
60,,,-2.3969,-2.6711,1
61,,-5.8126,10.8867,-0.52846,1
62,0.39559,6.8866,1.0588,,0
63,-2.9098,-10.0712,,-1.9948,1
64,-2.4365,,-1.4166,,1
65,-3.0731,-0.53181,2.3877,,1
66,-2.9662,-10.3257,,-2.1138,1
67,1.8205,6.7562,,,0
68,,,,,0
69,-0.60254,,,-0.77027,1
70,1.3049,-0.15521,,-0.75346,0
71,-5.4414,,0.10937999999999999,,1
72,,-13.2869,,,1
73,2.9233,6.0464,,,0
74,-2.8957,,,,1
75,,,,,1
76,,,,-0.9888,0
77,-2.7908,-5.7133,5.952999999999999,,1
78,,,2.2558,-0.15734,0
79,,3.3005,1.063,,1
80,,,,0.45299999999999996,0
81,,,2.1324,,1
82,,,,,0
83,-0.8734,,-0.20165,0.55774,1
84,,5.6864,-1.7157,,0
85,,3.1287,,0.6469600000000001,0
86,0.5393600000000001,3.8944,-4.8166,,1
87,1.6426,,0.22849,,0
88,,8.8855,,-1.6599,0
89,-0.7869,9.5663,-3.7867,-7.5034,0
90,0.8829799999999999,0.66009,6.0096,,0
91,-1.5681,-7.2446,,,1
92,,,,-4.109,0
93,,,-2.3429,-0.8530200000000001,0
94,5.0297,-4.9704,,,0
95,-3.8953,4.0392,-0.3019,-2.1836,1
96,-4.2887,-7.8633,11.8387,-1.8978,1
97,-2.0759,10.8223,2.6439,-4.837,0
98,2.1319,-2.0403,2.5574,-0.061652,0
99,3.2704,,-1.0456,0.23446999999999998,0
100,,,,-1.8733,1
101,4.8368,,,,0
102,,,-2.7756,,1
103,0.007124899999999999,,0.50781,,0
104,3.0632,,5.1305,,0
105,2.6648,10.754000000000001,,,0
106,,,,-6.8607,1
107,,-12.4736,14.9704,,1
108,-2.8833,,0.6894600000000001,-0.4638,1
109,2.3678,-6.8389999999999995,,,0
110,,,-2.2718,,0
111,,,,-0.45475,1
112,,,,0.049554,0
113,-3.3458,-0.5049100000000001,2.6328,,1
114,-0.13144,,,,0
115,,,-0.057699,,0
116,-0.90784,,,0.34179,1
117,-0.78689,,,,0
118,,6.8514,-1.5443,,0
119,4.5447,,-2.4166,,0
120,,7.2673,,-2.2431,0
121,,10.9072,-4.5775,-4.4271,0
122,-4.9462,,,,1
123,2.2517,,,,0
124,-3.7181,,,,1
125,-1.5877,-6.6072,5.8022,,1
126,1.2572,4.8731,,,1
127,-2.2617,,6.3489,,1
128,,2.3259,,0.54998,0
129,-0.77995,3.2322,-3.282,-3.1004,1
130,5.0214,8.0764,,,0
131,-0.10234,,,-0.56725,1
132,,11.8052,-0.40471999999999997,,0
133,2.1616,-6.8804,,-0.081048,0
134,0.9297,,4.6429,-0.2957,0
135,,-4.5566,,-0.056478999999999994,1
136,-3.1875,,11.8678,-0.57889,1
137,,1.4671,-0.7268899999999999,,1
138,,11.112,-4.2039,-5.0931,0
139,-1.9881,,-0.28562,-0.70044,1
140,,,,,1
141,,9.2621,-3.5210000000000004,-1.8719999999999999,0
142,0.7406699999999999,1.7299,,-0.1457,1
143,,-5.4236,,-1.2526,0
144,-4.6765,,10.969000000000001,,1
145,,10.1684,-4.1131,-4.6056,0
146,-4.4775,-13.0303,17.0834,-3.0345,1
147,-0.062025,6.1975,1.099,-1.131,0
