,Feat 0,Feat 1,Feat 2,Feat 3,Feat 4,Feat 5,Feat 6,class
0,-50.0,-57.0,-60.0,-43.0,-66.0,-77.0,-82.0,2
1,-38.0,-55.0,-51.0,-43.0,-64.0,-73.0,-73.0,1
2,-48.0,-59.0,-54.0,-55.0,-60.0,-84.0,-87.0,2
3,-50.0,-68.0,-48.0,-56.0,-63.0,-80.0,-77.0,2
4,-50.0,-52.0,-52.0,-56.0,-67.0,-80.0,-89.0,2
5,-50.0,-58.0,-51.0,-52.0,-60.0,-81.0,-79.0,2
6,-37.0,-55.0,-56.0,-37.0,-67.0,-70.0,-66.0,1
7,-49.0,-49.0,-47.0,-50.0,-59.0,-79.0,-88.0,2
8,-48.0,-58.0,-57.0,-45.0,-73.0,-86.0,-92.0,1
9,-65.0,-61.0,-63.0,-63.0,-69.0,-82.0,-84.0,0
10,-65.0,-54.0,-60.0,-64.0,-65.0,-87.0,-82.0,0
11,-38.0,-53.0,-54.0,-43.0,-70.0,-77.0,-75.0,1
12,-58.0,-65.0,-47.0,-71.0,-51.0,-86.0,-83.0,3
13,-59.0,-53.0,-51.0,-54.0,-45.0,-79.0,-87.0,3
14,-65.0,-54.0,-53.0,-61.0,-43.0,-84.0,-83.0,3
15,-68.0,-56.0,-66.0,-69.0,-75.0,-82.0,-83.0,0
16,-56.0,-53.0,-58.0,-64.0,-71.0,-84.0,-87.0,0
17,-61.0,-56.0,-44.0,-61.0,-49.0,-91.0,-86.0,3
18,-63.0,-57.0,-60.0,-64.0,-72.0,-80.0,-78.0,0
19,-61.0,-57.0,-58.0,-62.0,-67.0,-78.0,-76.0,0
20,-52.0,-57.0,-50.0,-52.0,-60.0,-78.0,-79.0,2
21,-50.0,-57.0,-61.0,-50.0,-74.0,-83.0,-79.0,1
22,-61.0,-55.0,-45.0,-55.0,-56.0,-85.0,-85.0,3
23,-64.0,-58.0,-51.0,-59.0,-40.0,-88.0,-87.0,3
24,-62.0,-57.0,-44.0,-61.0,-44.0,-89.0,-87.0,3
25,-53.0,-53.0,-52.0,-55.0,-60.0,-82.0,-84.0,2
26,-61.0,-53.0,-53.0,-61.0,-63.0,-77.0,-81.0,0
27,-35.0,-52.0,-55.0,-38.0,-62.0,-66.0,-85.0,1
28,-59.0,-62.0,-54.0,-62.0,-46.0,-87.0,-91.0,3
29,-51.0,-52.0,-58.0,-49.0,-60.0,-84.0,-74.0,2
30,-69.0,-59.0,-59.0,-65.0,-78.0,-86.0,-87.0,0
31,-63.0,-58.0,-61.0,-67.0,-69.0,-86.0,-85.0,0
32,-62.0,-63.0,-57.0,-69.0,-71.0,-82.0,-82.0,0
33,-59.0,-50.0,-45.0,-60.0,-45.0,-88.0,-87.0,3
34,-64.0,-58.0,-45.0,-66.0,-48.0,-89.0,-93.0,3
35,-59.0,-56.0,-50.0,-62.0,-47.0,-87.0,-90.0,3
36,-34.0,-61.0,-52.0,-27.0,-61.0,-67.0,-69.0,1
37,-39.0,-59.0,-57.0,-42.0,-75.0,-78.0,-74.0,1
38,-45.0,-60.0,-56.0,-54.0,-59.0,-84.0,-85.0,2
39,-57.0,-53.0,-50.0,-61.0,-56.0,-84.0,-83.0,3
40,-62.0,-49.0,-59.0,-63.0,-62.0,-80.0,-79.0,0
41,-46.0,-54.0,-53.0,-47.0,-63.0,-85.0,-80.0,2
42,-18.0,-50.0,-57.0,-36.0,-62.0,-66.0,-71.0,1
43,-36.0,-51.0,-67.0,-40.0,-63.0,-74.0,-68.0,1
44,-62.0,-59.0,-48.0,-65.0,-51.0,-87.0,-86.0,3
45,-45.0,-50.0,-50.0,-55.0,-57.0,-76.0,-75.0,2
46,-69.0,-61.0,-62.0,-62.0,-75.0,-85.0,-84.0,0
47,-34.0,-57.0,-55.0,-35.0,-59.0,-71.0,-69.0,1
48,-39.0,-51.0,-57.0,-36.0,-64.0,-65.0,-71.0,1
49,-46.0,-53.0,-54.0,-46.0,-63.0,-79.0,-82.0,2
50,-48.0,-52.0,-54.0,-52.0,-63.0,-80.0,-77.0,2
51,-51.0,-55.0,-51.0,-49.0,-61.0,-82.0,-81.0,2
52,-59.0,-55.0,-46.0,-66.0,-50.0,-86.0,-91.0,3
53,-35.0,-58.0,-55.0,-36.0,-62.0,-70.0,-73.0,1
54,-16.0,-58.0,-58.0,-13.0,-68.0,-76.0,-90.0,1
55,-59.0,-59.0,-49.0,-62.0,-47.0,-82.0,-81.0,3
56,-51.0,-63.0,-51.0,-52.0,-66.0,-79.0,-89.0,2
57,-60.0,-59.0,-56.0,-63.0,-64.0,-82.0,-81.0,0
58,-61.0,-61.0,-51.0,-62.0,-54.0,-85.0,-91.0,3
59,-66.0,-59.0,-64.0,-67.0,-77.0,-87.0,-85.0,0
60,-62.0,-58.0,-49.0,-64.0,-42.0,-86.0,-89.0,3
61,-53.0,-58.0,-51.0,-50.0,-62.0,-84.0,-81.0,2
62,-64.0,-58.0,-60.0,-67.0,-68.0,-84.0,-81.0,0
63,-62.0,-61.0,-51.0,-68.0,-48.0,-88.0,-88.0,3
64,-56.0,-56.0,-62.0,-64.0,-70.0,-79.0,-86.0,0
65,-59.0,-53.0,-49.0,-56.0,-49.0,-83.0,-88.0,3
66,-59.0,-52.0,-61.0,-61.0,-76.0,-75.0,-78.0,0
67,-58.0,-50.0,-55.0,-54.0,-61.0,-84.0,-87.0,0
68,-62.0,-56.0,-61.0,-67.0,-67.0,-81.0,-85.0,0
69,-62.0,-51.0,-53.0,-60.0,-67.0,-78.0,-85.0,0
70,-50.0,-53.0,-52.0,-50.0,-64.0,-78.0,-88.0,2
71,-64.0,-55.0,-52.0,-61.0,-50.0,-92.0,-94.0,3
72,-40.0,-54.0,-54.0,-45.0,-71.0,-76.0,-74.0,1
73,-41.0,-58.0,-60.0,-47.0,-70.0,-82.0,-74.0,1
74,-51.0,-47.0,-50.0,-49.0,-59.0,-80.0,-85.0,2
75,-48.0,-55.0,-53.0,-51.0,-63.0,-82.0,-86.0,2
76,-61.0,-56.0,-48.0,-62.0,-54.0,-88.0,-86.0,3
77,-53.0,-54.0,-56.0,-52.0,-63.0,-81.0,-85.0,2
78,-53.0,-58.0,-51.0,-48.0,-63.0,-85.0,-78.0,2
79,-59.0,-49.0,-44.0,-61.0,-45.0,-89.0,-89.0,3
80,-61.0,-54.0,-54.0,-67.0,-60.0,-81.0,-83.0,0
81,-41.0,-53.0,-56.0,-36.0,-62.0,-75.0,-77.0,1
82,-62.0,-58.0,-50.0,-58.0,-47.0,-95.0,-87.0,3
83,-61.0,-54.0,-51.0,-63.0,-44.0,-87.0,-88.0,3
84,-55.0,-54.0,-43.0,-60.0,-51.0,-84.0,-88.0,3
85,-52.0,-57.0,-53.0,-47.0,-57.0,-80.0,-83.0,2
86,-57.0,-54.0,-48.0,-55.0,-47.0,-82.0,-86.0,3
