,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,MARRIAGE_0,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,EDUCATION_0,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,EDUCATION_5,EDUCATION_6,SEX_1,SEX_2,class
0,80000,27,1,4,3,2,0,0,84718,82861,80581,51537,51381,48866,0,0,0,1790,1890,1740,0,0,1,0,0,0,0,1,0,0,0,0,1,1
1,250000,27,0,0,0,0,0,0,144525,183569,186020,186465,113336,0,43089,6959,110000,0,0,132818,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2,40000,42,-1,2,-1,0,0,-1,1978,1415,1748,832,416,1851,3,1749,0,0,1851,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3,220000,28,-1,-1,-2,-2,-2,-2,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
4,460000,34,-1,0,0,0,0,0,11689,12911,15418,22465,25546,36452,2000,3000,8000,4000,16000,6000,0,1,0,0,0,1,0,0,0,0,0,0,1,0
5,100000,24,0,0,0,0,0,0,76025,68016,63520,64825,65725,67183,3000,3600,3000,2500,2600,3000,0,0,1,0,0,1,0,0,0,0,0,0,1,0
6,80000,45,0,0,0,-2,-2,-2,81328,82150,0,0,0,0,3750,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
7,160000,31,0,0,0,0,0,0,108963,105748,109050,112243,114513,114902,4500,5000,5000,4100,4192,6000,0,0,1,0,0,0,0,1,0,0,0,1,0,0
8,150000,32,6,5,4,3,2,2,81341,79529,77757,75841,73678,77273,0,0,0,0,4874,1000,0,0,1,0,0,0,1,0,0,0,0,0,1,0
9,160000,29,-1,-1,0,0,0,0,20193,3250,9244,8344,5607,1289,3250,6152,1000,1401,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
10,280000,50,-1,-1,-1,-1,-1,-1,2712,4450,9754,0,8142,6997,4494,9754,0,8142,6997,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
11,70000,39,0,0,0,0,0,0,60412,67474,68750,59186,48178,46197,8137,3100,7172,10000,1662,3000,0,1,0,0,0,1,0,0,0,0,0,1,0,0
12,50000,24,0,0,0,0,0,-1,49411,50385,50207,48974,19090,780,2100,2183,1211,1362,390,780,0,0,1,0,0,0,1,0,0,0,0,1,0,0
13,390000,33,0,0,0,0,0,0,84100,85538,79875,82853,82747,44143,5000,3500,4502,3518,2003,3001,0,0,1,0,0,1,0,0,0,0,0,0,1,0
14,130000,26,0,0,2,2,2,0,121329,128791,127881,133130,127159,131069,11000,2600,9000,0,6000,5000,0,1,0,0,0,0,0,1,0,0,0,0,1,0
15,160000,23,0,0,0,0,0,0,96814,69870,68984,55559,44705,28223,10008,20014,1894,6425,2204,62529,0,1,0,0,0,0,1,0,0,0,0,0,1,0
16,260000,52,0,0,0,0,0,0,207627,212821,214885,219204,223899,228279,8535,6430,6495,6849,6799,32430,0,1,0,0,0,0,0,1,0,0,0,0,1,0
17,360000,45,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
18,80000,33,0,0,0,0,0,-2,25211,14863,15816,12710,0,0,1300,1210,1000,0,0,56990,0,0,1,0,0,0,1,0,0,0,0,0,1,0
19,80000,36,-2,-2,-2,-2,-2,-2,6746,556,556,2904,556,4226,556,556,2904,556,4226,3683,0,1,0,0,0,0,1,0,0,0,0,0,1,0
20,280000,46,2,2,0,0,0,0,506515,491801,62236,54813,38669,18010,0,1803,1475,1105,534,318,0,1,0,0,0,0,0,1,0,0,0,0,1,1
21,20000,24,0,0,0,0,2,2,13470,14748,15761,17497,17075,19777,1500,1264,2000,0,3000,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
22,210000,34,0,0,0,0,0,0,73329,74261,75602,76062,76287,76971,2700,3500,3300,3000,3000,3000,0,1,0,0,0,1,0,0,0,0,0,0,1,0
23,250000,49,1,2,2,0,0,0,260260,262132,240448,186817,185488,184091,13000,0,6672,7000,7000,9000,0,0,0,1,0,0,0,1,0,0,0,0,1,0
24,230000,30,0,-1,0,-1,0,0,4942,2554,1249,2959,7079,1880,2554,1000,2959,5000,1000,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25,400000,30,-2,-2,-2,-2,-2,-2,-200,-200,-200,746,3956,2500,0,0,946,3956,2500,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
26,100000,30,0,0,0,0,0,-1,43717,29954,24551,16333,9776,58408,3000,2500,2000,1000,58408,5800,0,1,0,0,0,1,0,0,0,0,0,0,1,0
