,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,class
0,6.6,,,,0.063,31.0,,,3.1,,9.4,0
1,7.3,0.2,,1.6,,,123.0,0.9923799999999999,,0.44,10.8,0
2,,0.695,,,0.055999999999999994,58.0,,0.9980600000000001,3.29,,8.7,1
3,5.0,0.455,,1.9,0.036000000000000004,33.0,,0.98746,3.21,0.83,14.0,2
4,5.7,,0.3,,,,,,3.34,0.5,,0
5,,0.27,,13.9,0.05,45.0,199.0,0.9984,3.34,,9.8,0
6,,0.26,,10.8,0.042,,,0.996,3.08,,,0
7,,,0.32,,,20.0,,,3.17,0.55,11.2,0
8,7.1,,0.61,,,,155.0,0.9974,,0.45,,1
9,7.3,0.31,0.69,,0.040999999999999995,58.0,160.0,,3.06,0.45,8.6,1
10,,,,,,,115.0,,3.42,0.5,,0
11,,0.17,0.28,,0.03,22.0,,,,,11.3,2
12,,,,7.5,,71.0,223.0,0.9959,,,8.9,1
13,,,0.24,,0.044000000000000004,,159.0,,,0.28,11.5,0
14,6.4,0.18,0.48,4.0,,,,,,,,1
15,,0.28,,,0.032,32.0,,,,0.48,12.2,2
16,,,0.27,,0.042,,,,3.14,,8.7,1
17,,0.08,0.49,,0.05,18.0,148.0,,3.46,,10.2,0
18,,,,,,,164.0,0.9946,3.56,0.44,10.8,0
19,6.3,,0.31,1.5,0.022000000000000002,11.0,,,3.3,0.4,12.9,2
20,,,0.31,13.9,,,135.0,,3.21,,10.7,1
21,,,,,,,189.0,0.9960399999999999,3.22,,,1
22,7.2,0.34,,8.9,,,155.0,0.99692,3.01,,,1
23,6.4,,0.27,,,,,0.9891399999999999,,0.3,,0
24,,0.31,,,,,165.0,0.9997,3.38,,,1
25,7.0,,0.29,4.9,0.036000000000000004,41.0,150.0,,,0.43,12.2,0
26,,0.3,,1.4,0.032,31.0,161.0,0.99154,,0.42,10.5,1
27,,0.2,,1.2,,36.0,159.0,0.9936,3.19,,,0
28,,0.27,,1.2,,,,0.9928799999999999,,,9.2,0
29,8.4,,,5.1,,7.0,77.0,,,,11.7,1
30,,0.21,,10.5,0.035,36.0,122.0,,,0.4,,0
31,,0.21,0.22,5.1,,38.0,,,,0.49,10.4,0
32,6.6,0.36,0.21,1.5,0.049,39.0,184.0,,3.18,0.41,9.9,0
33,6.5,,,11.25,0.032,31.0,,,3.02,,12.4,0
34,,,0.45,,,,124.0,0.9944,2.93,0.46,10.8,1
35,5.8,0.13,0.22,,,24.0,,0.9956,3.32,,,0
36,8.0,0.32,0.36,,0.042,,178.0,,3.29,,12.0,0
37,,,0.29,,0.034,29.0,134.0,0.99056,,,13.0,2
38,7.0,0.2,0.34,,0.049,12.0,,,,0.46,11.6,2
39,,0.31,0.38,2.9,0.038,19.0,102.0,,3.17,0.35,,2
40,7.2,0.24,0.27,,,,174.0,0.9977299999999999,,,9.0,1
41,6.4,,,,,,223.0,,3.16,,9.1,1
42,,,,,0.036000000000000004,,118.0,0.9953,,0.4,10.9,2
43,,0.5,,,,23.0,,0.98949,,,,2
44,,,0.28,9.65,0.025,,,0.9925,,,,0
45,,0.23,0.34,1.6,0.043,24.0,129.0,,3.12,,,1
46,,,0.63,,0.078,81.0,,,3.08,,,1
47,7.8,0.26,0.49,,,21.0,116.0,,,,10.3,1
48,,,,,0.126,,199.0,,,,9.4,1
49,6.0,0.21,,8.7,0.036000000000000004,47.0,,,3.18,,,1
50,8.3,,,,,18.0,96.0,0.9911,3.2,,,5
51,,,0.46,11.75,0.037000000000000005,61.0,212.0,0.9971,,0.53,,0
52,,0.26,,,0.047,,,0.9959399999999999,,,,1
53,,0.14,,,,,,0.9911,3.19,,,0
54,6.15,0.21,,,,,,,3.39,0.47,12.0,1
55,,0.37,,,,,,0.9924,3.24,,10.1,1
56,6.3,,0.32,1.5,0.037000000000000005,,,,,,12.3,0
57,,0.61,,,0.11699999999999999,,,0.9938,,,,1
58,6.8,0.34,,,,,,,,,12.0,0
59,8.0,0.25,0.49,,0.044000000000000004,,,,,,10.0,0
60,7.0,,,,0.055999999999999994,68.0,210.0,,3.05,,,1
61,,,,,0.042,,160.0,0.99841,,,,1
62,6.9,0.29,0.25,12.2,0.04,,136.0,0.9955200000000001,,,10.4,0
63,8.3,0.49,,,0.034,,,,3.05,,,1
64,6.0,0.44,0.26,,,,128.0,,3.22,0.39,,0
65,,,,,0.039,,172.0,0.9958,3.49,0.64,,0
66,6.7,0.23,,,,,,0.9926,,,10.7,3
67,,,0.28,,0.043,,,,,,11.4,0
68,7.6,0.3,0.38,2.1,,,,,,0.65,11.0,1
69,,,,5.7,,,,,,,,2
70,,0.24,,,,,106.0,,,0.38,,0
71,,,,1.5,,46.0,178.0,,,0.56,11.3,0
72,,0.31,,14.2,,62.0,204.0,,,0.59,9.4,1
73,,,,,0.07400000000000001,25.0,,,,,,1
74,6.6,0.25,,11.3,0.049,,231.0,,,0.52,9.5,0
75,,0.29,,11.1,,,169.0,0.9973,,,9.0,1
76,6.9,0.3,0.21,15.7,0.055999999999999994,,,0.9982700000000001,,,9.0,1
77,,,,18.15,0.042,41.0,158.0,0.9997,3.28,,,0
78,7.6,,0.49,11.3,0.046,,,0.9984,,,,1
79,,0.31,,,0.038,,147.0,,3.18,,,1
80,,0.2,,1.1,0.06,36.0,,0.9931700000000001,,,,1
81,,0.4,0.52,1.3,,45.0,149.0,0.9946799999999999,,,8.7,1
82,,0.36,,,0.045,35.0,135.0,0.9935,,,11.6,3
83,5.6,0.695,,6.8,0.042,,84.0,0.9943200000000001,,,10.2,1
84,6.3,0.19,0.33,,,63.0,133.0,,2.86,,,1
85,,0.2,,14.0,0.038,,160.0,,,0.5,,0
86,6.6,0.45,,,0.064,31.0,186.0,0.9954,3.12,,9.4,1
87,7.8,0.49,,,,29.0,149.0,0.9952,,0.33,,1
88,6.8,0.17,,,0.04,,106.0,,,0.66,,1
89,,0.62,,,,81.0,224.0,0.99605,3.17,0.44,,1
90,,0.22,0.26,,0.047,,,,3.25,0.53,,0
91,6.7,0.23,0.25,1.6,,,143.0,0.99256,,,10.3,0
92,,0.61,0.12,1.3,0.009000000000000001,65.0,,0.9874,,,,1
93,,,,7.9,0.055999999999999994,49.0,,,3.18,0.52,,1
94,6.4,,,8.3,,,,,3.22,,9.4,1
95,,,,7.7,,,98.0,,2.94,0.31,9.6,0
96,9.6,0.25,0.54,,,16.0,,0.9938,2.94,,10.5,1
97,,,0.28,2.2,0.04,,,0.9917,3.19,0.48,,0
98,,0.23,0.38,,0.057999999999999996,,,0.9979,,0.44,9.0,0
99,5.6,0.2,,1.3,,25.0,155.0,,,0.43,,1
100,7.1,,,14.8,,,,0.99518,3.12,0.48,12.0,3
101,7.2,0.26,,,,,114.0,0.9966,3.23,0.49,10.5,1
102,,,,1.3,,42.0,,,3.32,,11.1,0
103,,,,,,29.0,,,3.13,0.52,,1
104,5.8,,0.15,6.1,0.042,,123.0,0.9936200000000001,3.06,0.6,9.9,0
105,6.6,0.27,,7.8,,62.0,217.0,0.9959,3.17,,9.4,0
106,7.6,,,,0.06,,174.0,0.9962,3.13,0.38,10.5,0
107,,,,8.6,0.044000000000000004,45.0,104.0,0.99454,,0.37,,0
108,8.0,0.18,0.37,,0.04,15.0,96.0,,,,,0
109,6.4,,,,0.043,,,0.99551,,0.48,9.5,1
110,6.3,,,,0.052000000000000005,,134.0,0.9924,,,9.8,0
111,7.2,,0.28,,,55.0,,0.9986,3.12,0.38,9.0,2
