,i,j
0,0,128
1,1,1865
2,1,2193
3,1,597
4,1,2929
5,1,2943
6,2,3289
7,3,931
8,3,3224
9,4,2174
10,5,148
11,6,1001
12,7,1333
13,7,1637
14,8,1885
15,8,533
16,9,507
17,10,1170
18,10,2634
19,11,1534
20,12,113
21,12,2264
22,12,177
23,12,294
24,12,339
25,12,466
26,12,597
27,12,857
28,12,1122
29,12,1260
30,12,2488
31,12,2501
32,13,667
33,13,993
34,13,1371
35,13,1394
36,13,2722
37,14,1853
38,14,748
39,15,2534
40,16,2021
41,16,2323
42,16,122
43,16,513
44,16,922
45,16,1067
46,16,1105
47,16,1208
48,16,1666
49,16,2429
50,16,2430
51,16,2431
52,16,2432
53,16,2609
54,17,379
55,17,1650
56,18,2289
57,18,278
58,18,312
59,19,838
60,19,951
61,19,3309
62,20,3087
63,21,573
64,22,226
65,22,1640
66,22,3255
67,23,1442
68,24,727
69,24,1527
70,25,1557
71,25,2346
72,26,1929
73,26,2740
74,27,1936
75,27,255
76,27,512
77,27,790
78,27,922
79,27,1443
80,27,1521
81,27,1523
82,27,1782
83,27,2792
84,28,1842
85,28,947
86,28,1078
87,28,1178
88,28,1412
89,28,1559
90,28,2327
91,28,2328
92,28,2329
93,28,2330
94,28,2331
95,29,922
96,29,2848
97,30,2239
98,30,922
99,31,1843
100,31,631
101,31,1125
102,31,1259
103,32,118
104,32,3018
105,33,324
106,33,1322
107,33,3200
108,33,3204
109,33,3326
110,34,75
111,35,89
112,36,263
113,37,1245
114,38,1728
115,38,2403
116,39,912
117,39,2480
118,40,131
119,40,2637
120,41,2313
121,41,559
122,41,1826
123,42,2667
124,43,1843
125,43,387
126,43,596
127,43,738
128,43,929
129,43,1125
130,43,1231
131,43,1259
132,43,2644
133,43,2645
134,44,727
135,44,1345
136,45,439
137,46,3242
138,47,320
139,47,598
140,47,888
141,47,3137
142,47,3138
143,48,1685
144,49,753
145,49,1010
146,49,1728
147,49,2356
148,49,2469
149,49,3003
150,50,2541
151,50,2542
152,51,2160
153,51,2200
154,51,534
155,51,714
156,51,922
157,51,1107
158,51,2538
159,51,2838
160,52,1981
161,52,1117
162,53,61
163,54,228
164,54,1403
165,54,2393
166,55,1893
167,55,1619
168,55,2339
169,56,527
170,56,2621
171,57,2194
172,57,2582
173,58,1991
174,58,240
175,58,242
176,58,916
177,58,1509
178,59,431
179,59,462
180,59,468
181,59,714
182,59,790
183,59,922
184,59,2836
185,60,293
186,60,416
187,60,3001
188,61,53
189,61,943
190,61,1014
191,61,1234
192,61,1563
193,61,1613
194,62,1120
195,63,553
196,64,931
197,65,1444
198,66,562
199,66,2357
200,66,3151
201,67,1460
202,68,2425
203,69,1864
204,69,678
205,69,2385
206,70,308
207,70,974
208,70,1745
209,70,2350
210,70,2569
211,70,2909
212,70,3018
213,71,2035
214,71,160
215,72,1396
216,73,2204
217,73,332
218,73,1279
219,74,2380
220,75,34
221,75,800
222,75,1197
223,75,1379
224,76,632
225,76,1361
226,76,2442
227,76,2543
228,76,2656
229,76,2964
230,77,722
231,78,1187
232,78,1543
233,78,2381
234,78,2505
235,79,2005
236,79,1589
237,80,2066
238,80,2331
239,80,3038
240,81,2265
241,81,2298
242,81,645
243,81,1027
244,81,2428
245,81,2985
246,82,1771
247,83,2247
248,83,2291
249,83,149
250,83,154
251,83,423
252,83,577
253,83,725
254,83,883
255,83,1342
256,83,1432
257,83,2685
258,83,3026
259,83,3027
260,83,3054
261,83,3302
262,83,3318
263,84,2289
264,84,153
265,85,2903
266,86,988
267,86,1357
268,87,1210
269,87,1715
270,88,3163
271,89,35
272,90,118
273,90,3281
274,91,1492
275,92,2289
276,92,1689
277,93,2949
278,94,692
279,94,2803
280,95,110
281,95,322
282,95,428
283,95,1769
284,95,2648
285,95,3278
286,96,119
287,96,1839
288,96,2046
289,96,822
290,97,402
291,97,701
292,97,2584
293,98,2060
294,98,2093
295,98,436
296,98,578
297,98,906
298,98,1674
299,98,1784
300,98,1797
301,98,2523
302,98,2524
303,99,1864
304,99,515
305,99,2583
306,100,526
307,100,1658
308,101,325
309,101,825
310,101,840
311,101,934
312,101,2865
313,101,3094
314,101,3168
315,102,516
316,102,1139
317,102,1248
318,102,1698
319,103,1630
320,104,1268
321,104,1464
322,105,476
323,106,1862
324,106,866
325,106,1689
326,106,2655
327,106,2787
328,107,3200
329,108,1333
330,108,1637
331,109,954
332,109,1319
333,109,2670
334,109,2671
335,110,95
336,110,2179
337,110,2248
338,110,1051
339,110,1204
340,110,3278
341,111,1958
342,112,749
343,113,12
344,113,1857
345,113,1033
346,113,1375
347,114,2260
348,114,919
349,114,1038
350,114,1186
351,114,1574
352,114,2689
353,115,380
354,115,1622
355,116,3310
356,117,2074
357,118,32
358,118,90
359,118,3140
360,119,96
361,119,1839
362,119,1329
363,119,3140
364,1827,2044
365,1827,1150
366,1828,1411
367,1828,3144
368,1829,327
369,1829,2435
370,1830,1492
371,1831,1311
372,1832,331
373,1833,1911
374,1834,1850
