,i,j
0,0,1701
1,0,1862
2,0,2582
3,1,2
4,1,152
5,1,154
6,2,1
7,2,1400
8,2,954
9,2,1166
10,2,1986
11,3,2544
12,4,516
13,4,756
14,4,1761
15,4,2175
16,4,2176
17,5,1129
18,5,1159
19,5,2546
20,6,1441
21,6,542
22,6,916
23,6,1102
24,7,1276
25,8,1337
26,8,1349
27,8,1996
28,9,223
29,9,2614
30,10,1544
31,10,2545
32,11,1155
33,11,1839
34,12,501
35,12,818
36,12,2661
37,12,2662
38,13,1201
39,13,1810
40,14,1226
41,14,2034
42,14,2075
43,14,2077
44,14,2668
45,15,590
46,15,593
47,15,771
48,15,2367
49,16,470
50,16,1132
51,16,2444
52,16,2642
53,17,24
54,17,427
55,17,815
56,17,816
57,17,2140
58,18,139
59,18,1060
60,18,1786
61,18,2082
62,18,2145
63,19,1939
64,20,572
65,20,2269
66,20,2270
67,20,2374
68,20,2375
69,21,543
70,21,2310
71,22,39
72,22,734
73,22,1202
74,22,1203
75,22,2238
76,23,2159
77,24,17
78,24,1269
79,24,1666
80,24,1136
81,24,1201
82,24,2139
83,24,2141
84,25,801
85,25,844
86,25,2011
87,25,2317
88,26,99
89,26,122
90,26,123
91,26,2454
92,26,2455
93,27,1674
94,27,1810
95,27,2360
96,27,2578
97,28,1187
98,29,463
99,29,2645
100,30,197
101,30,238
102,30,858
103,30,916
104,30,2162
105,30,2343
106,31,1094
107,32,1347
108,32,1586
109,32,1850
110,32,1973
111,33,1354
112,33,1656
113,33,198
114,33,411
115,33,551
116,33,2040
117,33,2119
118,33,2120
119,33,2121
120,34,858
121,35,395
122,35,796
123,35,1913
124,36,646
125,36,1005
126,36,1052
127,36,1140
128,36,1781
129,36,2094
130,36,2106
131,36,2107
132,37,60
133,37,690
134,37,2427
135,38,1497
136,38,362
137,38,363
138,38,660
139,39,22
140,39,849
141,39,1022
142,39,1032
143,39,1134
144,39,1965
145,39,2357
146,40,1575
147,40,366
148,40,864
149,41,1243
150,41,1664
151,41,144
152,41,1914
153,42,87
154,42,872
155,43,1220
156,43,463
157,43,1030
158,43,1153
159,43,2399
160,43,2400
161,44,1082
162,44,2624
163,44,2701
164,45,233
165,45,719
166,45,1986
167,45,2303
168,45,2667
169,45,2668
170,46,1104
171,46,2366
172,47,1231
173,47,1079
174,48,1666
175,48,214
176,48,531
177,48,1162
178,48,1166
179,48,2041
180,48,2205
181,48,2206
182,48,2471
183,49,1166
184,49,2034
185,50,941
186,51,1525
187,51,210
188,51,892
189,51,2213
190,51,2214
191,51,2215
192,52,639
193,52,967
194,52,2053
195,52,2172
196,52,2182
197,53,603
198,53,858
199,53,1739
200,54,1469
201,54,267
202,55,60
203,55,1278
204,55,1391
205,55,151
206,55,271
207,55,287
208,55,315
209,55,579
210,55,656
211,55,1983
212,55,2020
213,55,2021
214,56,1480
215,56,1515
216,56,1116
217,56,1849
218,57,2418
219,58,1715
220,59,105
221,59,1648
222,59,1677
223,59,1683
224,59,567
225,59,787
