,variance,skewness,curtosis,entropy,class
0,-4.0218,-8.304,,,1
1,5.7823,5.5788,,,0
2,,,,-1.0728,1
3,,-3.4619,,,1
4,,,-2.9375,,0
5,0.84546,3.4826,-3.6307,-1.3961,1
6,4.9264,,,-0.50648,0
7,,,2.2635,,1
8,,0.17381,-1.7542,0.48921,1
9,,4.2358,2.1341,,0
10,,-3.3109,2.6491,0.066365,0
11,4.6439,-3.3729,2.5976,,0
12,,,,-0.98363,0
13,,,,,0
14,3.7831,,-3.8869,,0
15,,8.1881,,,0
16,,,-0.51182,,1
17,3.9262,,,-0.065531,0
18,,9.0386,,-1.2991,0
19,3.6582,5.6864,-1.7157,-0.23751,0
20,,,,,1
21,,3.4288,-4.0309,,1
22,,,-4.8037,,1
23,-3.9172,2.6652,0.78886,,1
24,4.0524,,,0.026279,0
25,,,8.3368,-2.8715,0
26,,3.3108,-4.5081,,1
27,,-7.6563,,,1
28,,9.887,-4.0788,-4.3664,0
29,,0.80287,1.6371,,0
30,-1.4233,-0.98912,2.3586,,1
31,3.4667,-4.0724,4.2882,,0
32,,,5.606,0.48533,1
33,,,0.53009,,0
34,0.3223,,8.0883,0.69222,0
35,1.3638,-4.7759,8.4182,,0
36,3.5189,6.332,-1.7791,,0
37,-4.0025,,,,1
38,,,1.5454,,0
39,0.9297,,,,0
40,,,4.7355,-0.2776,0
41,1.3183,,-3.3111,0.065071,1
42,2.3066,3.5364,0.57551,,0
43,,,,,1
44,-0.28015,,-3.3857,,1
45,,,5.63,0.91722,1
46,,,-2.8904,-0.52716,0
47,,-4.0951,,,0
48,-3.8053,2.4273,0.6809,,1
49,,,6.492,0.36119,1
50,1.581,0.86909,,,1
51,,4.0289,-0.35845,,1
52,4.6464,,,,0
53,-3.5741,3.944,,-2.1203,1
54,,-3.2467,3.4579,0.83705,0
55,,,6.7807,,1
56,-2.9883,,,0.068951,1
57,,-0.64562,-0.42014,,1
58,-2.9662,-10.3257,,,1
59,3.9414,,,1.0866,0
60,,1.8458,-1.3575,,1
61,-2.0897,10.8265,,,0
62,4.0215,-2.7004,2.4957,,0
63,2.8232,10.8513,,,0
64,-2.4198,,0.70146,,1
65,,,,0.56421,0
66,,,-1.4175,,0
67,,9.2848,0.014275,,1
68,3.7352,9.5911,,-3.3487,0
69,0.7049,,-1.7859,,1
70,-2.7908,,,0.45946,1
71,-1.7263,-6.0237,,0.29524,1
72,-0.048008,,,0.75558,0
73,,2.7811,0.66119,0.34179,0
74,-2.3983,,2.9464,-5.7888,0
75,,,,,0
76,-2.4473,,0.73573,-7.6612,0
77,3.4465,,1.0271,0.5461,0
78,5.4021,,-1.1536,,0
79,,,-2.0267,,1
80,,-6.4168,,,1
81,-0.0012852,0.13863,-0.19651,0.0081754,1
82,,,-3.1098,-0.20518,1
83,,-2.3507,1.7048,0.90946,0
84,0.12326,8.9848,,,0
85,,3.3998,-4.4327,-4.2655,1
86,4.3937,0.35798,,1.2004,0
87,,,-0.31304,-3.8194,1
88,-0.63298,,4.5624,1.4797,1
89,0.5195,,3.0895,,0
90,,,0.56265,,1
91,,1.7775,0.73745,,1
92,,-6.5907,,,1
93,3.5152,,,,0
94,,-0.69529,,,1
95,1.6408,,,-2.6621,1
96,-2.564,-1.7051,1.5026,,1
97,-1.7781,0.8546,7.1303,0.027572,0
98,,11.6894,2.5454,,0
99,,-0.070365,2.0416,1.1319,0
100,0.3798,,,-0.4444,0
101,,-10.7665,,,1
102,-0.23356,,,,1
103,2.6562,,,-4.0767,0
104,2.6719,,,0.58619,0
105,,7.6956,-2.7696,-1.0767,0
106,1.8533,6.1458,1.0176,,0
107,,-3.3771,4.1211,1.5043,1
108,2.8297,6.3485,-0.73546,,0
109,,3.5757,0.35273,0.2836,0
110,0.50813,0.47799,-1.9804,0.57714,1
111,3.884,10.0277,,-4.0819,0
112,-1.6988,,5.7902,,1
113,,-2.5928,,0.303,0
114,,,,-0.64484,1
115,5.086,,-1.2701,1.1189,0
116,,,,-5.0142,1
117,-5.2406,,,-6.8607,1
118,,,5.1305,,0
119,,,,1.1681,1
120,1.8993,7.6625,,,0
121,1.143,,,-0.56984,0
122,2.9163,10.8306,-3.3437,,0
123,,0.7098,0.7572,-0.4444,0
124,0.80355,,,0.6017,0
125,,,7.6796,,1
126,,0.39108,-0.98223,0.42843,1
127,,9.9884,1.1804,-5.2263,0
128,1.0194,,-2.3,,1
129,,,-1.4912,,0
130,,,3.8803,,0
131,-0.55648,3.2136,,,1
132,,-2.5845,2.2309,0.30947,0
133,0.11739,,,,0
134,,,3.1529,,0
135,2.8261,,-3.3034,-1.0509,0
136,,-12.9371,,-1.6806,1
137,3.5438,,,,0
138,,-0.3911,0.93452,0.42972,1
139,,-4.6145,,-0.23751,0
140,-2.9672,-13.2869,13.4727,,1
141,,7.7391,-0.37816,,0
142,3.359,9.8022,,-3.7133,0
143,,,,,0
144,3.0009,,,-0.66553,0
145,,3.9647,3.3979,,0
146,,-2.2121,,,1
147,,-0.52974,,1.106,0
148,,,,,0
149,,-4.8794,,-0.029324,0
150,,-9.2828,,,1
151,3.4805,9.7008,,,0
152,,-0.56078,7.7215,0.453,0
153,2.0177,1.7982,,0.2099,1
154,,-0.045533,-0.18794,,1
155,-1.1313,1.9037,,1.022,0
156,,-6.4334,8.15,,0
157,,,17.3087,,1
158,0.24394,1.4733,,,1
159,4.2586,,-4.0943,-4.3457,0
160,-0.94255,,,0.31593,1
161,,7.1742,0.78457,-0.75734,0
162,,,,1.225,0
163,,-6.4624,8.4773,,1
164,4.3239,-4.8835,3.4356,-0.5776,0
165,0.68087,2.3259,,0.54998,0
166,,0.68906,0.77344,,0
167,-1.1022,-5.8395,,,1
168,,,5.8408,,1
