,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,MARRIAGE_0,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,EDUCATION_0,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,EDUCATION_5,EDUCATION_6,SEX_1,SEX_2,class
0,,,1.0,4.0,3.0,2.0,0.0,,84718.0,82861.0,80581.0,51537.0,51381.0,48866.0,0.0,0.0,0.0,1790.0,1890.0,,0.0,0.0,1.0,0.0,,0.0,,,,,,0.0,1.0,1
1,250000.0,27.0,,0.0,0.0,0.0,0.0,,144525.0,,186020.0,186465.0,113336.0,,43089.0,6959.0,110000.0,0.0,0.0,132818.0,,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1.0,,0
2,,42.0,-1.0,2.0,-1.0,,0.0,-1.0,1978.0,1415.0,1748.0,,416.0,1851.0,3.0,1749.0,,0.0,1851.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,,0.0,0.0,1.0,0.0,0
3,220000.0,28.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,3700.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1
4,460000.0,,,0.0,0.0,0.0,0.0,0.0,11689.0,12911.0,15418.0,22465.0,25546.0,36452.0,2000.0,3000.0,,4000.0,16000.0,6000.0,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,1.0,0
5,100000.0,24.0,,,0.0,,0.0,0.0,76025.0,68016.0,63520.0,64825.0,65725.0,,3000.0,3600.0,3000.0,2500.0,2600.0,3000.0,,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0
6,80000.0,45.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,81328.0,82150.0,0.0,,0.0,,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0
7,160000.0,31.0,0.0,,0.0,0.0,,0.0,108963.0,105748.0,,112243.0,114513.0,114902.0,4500.0,,5000.0,,4192.0,6000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
8,,32.0,6.0,5.0,4.0,3.0,2.0,2.0,81341.0,,77757.0,75841.0,73678.0,,,0.0,0.0,0.0,4874.0,1000.0,0.0,0.0,,,,0.0,1.0,0.0,,,0.0,0.0,1.0,0
9,,29.0,-1.0,-1.0,0.0,,0.0,,,3250.0,9244.0,8344.0,5607.0,1289.0,,6152.0,1000.0,,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
10,,50.0,,-1.0,-1.0,-1.0,-1.0,-1.0,2712.0,,9754.0,0.0,,6997.0,4494.0,9754.0,,8142.0,6997.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
11,70000.0,,0.0,0.0,0.0,0.0,0.0,0.0,60412.0,67474.0,68750.0,,48178.0,,8137.0,3100.0,,10000.0,1662.0,3000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,1.0,,0
12,50000.0,,0.0,0.0,0.0,0.0,0.0,,49411.0,50385.0,50207.0,,19090.0,780.0,2100.0,2183.0,1211.0,1362.0,390.0,780.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0
13,390000.0,33.0,0.0,0.0,,0.0,0.0,0.0,84100.0,85538.0,79875.0,82853.0,82747.0,44143.0,5000.0,3500.0,4502.0,3518.0,2003.0,3001.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0
14,,26.0,0.0,0.0,2.0,2.0,2.0,0.0,121329.0,128791.0,,,,131069.0,,2600.0,9000.0,0.0,6000.0,5000.0,,,,,0.0,0.0,,1.0,0.0,0.0,0.0,,,0
15,160000.0,,0.0,0.0,,,0.0,0.0,96814.0,69870.0,68984.0,55559.0,44705.0,28223.0,10008.0,20014.0,1894.0,6425.0,2204.0,62529.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0
16,260000.0,52.0,0.0,0.0,0.0,0.0,0.0,,207627.0,212821.0,214885.0,219204.0,223899.0,228279.0,8535.0,6430.0,6495.0,6849.0,6799.0,32430.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0
17,,45.0,-2.0,-2.0,-2.0,,-2.0,-2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
18,,33.0,,,,0.0,0.0,-2.0,25211.0,14863.0,15816.0,12710.0,0.0,0.0,1300.0,1210.0,1000.0,0.0,0.0,56990.0,0.0,,1.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
