,1,2,3,4,5,6,7,class
0,0.63,1.00,0.48,0.50,0.35,0.51,0.49,7
1,0.25,0.26,0.48,0.50,0.39,0.32,0.42,0
2,0.36,0.42,0.48,0.50,0.53,0.32,0.41,0
3,0.29,0.28,0.48,0.50,0.50,0.42,0.50,0
4,0.47,0.47,0.48,0.50,0.22,0.16,0.26,0
5,0.66,0.71,0.48,0.50,0.41,0.50,0.35,7
6,0.78,0.33,0.48,0.50,0.57,0.77,0.79,4
7,0.63,0.80,0.48,0.50,0.46,0.31,0.29,7
8,0.23,0.34,0.48,0.50,0.43,0.26,0.37,0
9,0.50,0.66,0.48,0.50,0.31,0.92,0.92,1
10,0.60,0.46,0.48,0.50,0.45,0.81,0.83,1
11,0.61,0.52,0.48,0.50,0.54,0.67,0.52,1
12,0.30,0.45,0.48,0.50,0.36,0.21,0.32,0
13,0.65,0.55,0.48,0.50,0.34,0.37,0.28,0
14,0.16,0.51,0.48,0.50,0.33,0.39,0.48,1
15,0.68,0.76,0.48,0.50,0.84,0.45,0.27,5
16,0.44,0.28,0.48,0.50,0.43,0.27,0.37,0
17,0.34,0.49,0.48,0.50,0.58,0.85,0.80,1
18,0.87,0.49,0.48,0.50,0.61,0.76,0.79,4
19,0.42,0.24,0.48,0.50,0.57,0.27,0.37,0
20,0.40,0.46,0.48,0.50,0.52,0.49,0.56,0
21,0.69,0.80,0.48,0.50,0.46,0.57,0.26,7
22,0.63,0.86,0.48,0.50,0.39,0.47,0.34,7
23,0.44,0.34,0.48,0.50,0.30,0.33,0.43,0
24,0.28,0.33,0.48,0.50,0.45,0.22,0.33,0
25,0.37,0.50,0.48,0.50,0.42,0.36,0.45,0
26,0.42,0.35,0.48,0.50,0.58,0.15,0.27,0
27,0.35,0.34,0.48,0.50,0.46,0.30,0.27,0
28,0.44,0.42,0.48,0.50,0.42,0.25,0.20,0
29,0.70,0.61,0.48,0.50,0.56,0.52,0.43,7
30,0.50,0.51,0.48,0.50,0.27,0.23,0.34,0
31,0.71,0.40,0.48,0.50,0.71,0.70,0.74,1
32,0.24,0.43,0.48,0.50,0.54,0.52,0.59,0
33,0.20,0.44,0.48,0.50,0.46,0.51,0.57,0
34,0.44,0.27,0.48,0.50,0.55,0.52,0.58,0
35,0.64,0.66,0.48,0.50,0.41,0.39,0.20,7
36,0.67,0.37,0.48,0.50,0.54,0.64,0.68,4
37,0.12,0.67,0.48,0.50,0.74,0.58,0.63,1
38,0.69,0.65,0.48,0.50,0.63,0.48,0.41,7
39,0.81,0.53,0.48,0.50,0.57,0.87,0.88,4
40,0.79,0.54,0.48,0.50,0.50,0.66,0.68,4
41,0.43,0.39,0.48,0.50,0.47,0.31,0.41,0
42,0.64,0.58,0.48,0.50,0.48,0.78,0.73,1
43,0.47,0.59,0.48,0.50,0.52,0.76,0.79,1
