,feat 1,feat 2,feat 3,feat 4,feat 5,feat 6,feat 7,feat 8,class
0,121.46875,49.76883084,,,,19.82092443,8.639683985,,0
1,123.3046875,,0.537488993,,3.494147157,,,66.31017992,0
2,119.140625,39.67893301,,,0.490802676,,,585.7534445,0
3,,,0.16533025099999998,0.076440748,22.41137124,55.86358808,2.473383285,5.142636137,0
4,124.4296875,48.1979453,,,,83.49463793,0.830307789,,0
5,,51.602271,0.053780985999999996,-0.22991912399999997,,12.88762482,,142.3165549,0
6,73.515625,30.01874008,2.6796383219999997,12.54898853,,34.94638375,,30.32201694,1
7,49.0,,,,,,4.988605266,,1
8,67.5625,39.85123704,2.511827049,7.763682214,34.17140468,63.34727943,1.940723222,2.7494749560000002,1
9,111.140625,,,0.588207638,1.464046823,14.32031598,11.94749845,,0
10,124.0234375,,0.038594453,,,,,20.47790971,0
11,,49.62105424,,,,,,137.67422380000002,0
12,,,0.359083335,-0.319198584,,25.318479800000002,7.289637456,,0
13,,,0.5006695210000001,,,12.84357129,12.09582123,182.1683236,0
14,131.0,,-0.075650403,,3.83361204,23.23260828,6.971391799,,0
15,90.3046875,36.06473316,0.68446409,2.432726486,,,,,0
16,,75.31122235,,-1.5936484569999998,,,,,0
17,137.328125,40.82051211,,0.604269951,3.1162207360000003,20.8062982,7.94893572,,0
18,127.9296875,46.47011533,,,,,,,0
19,,,-0.299799104,,1.156354515,10.35215073,15.83492327,,0
20,,,,0.240965435,2.3762541809999997,,,110.1607972,0
21,95.703125,,,0.995482704,0.843645485,,,325.1223825,0
22,132.859375,56.76180141,,-0.681334922,,,,131.7022498,0
23,,,,,,33.24509808,,29.40634735,1
24,,,,0.194981232,3.68812709,19.34480026,,,0
25,73.4296875,35.64510038,1.891876111,8.195140975,,31.35826139,,,1
26,126.421875,53.36425673,,-0.466873959,1.8185618730000002,,,,0
27,,,0.287311656,,,,7.425147914,,0
28,,46.12603477,,-0.030845182000000002,,,,172.43545580000003,0
29,95.078125,36.05716151,,1.80376066,3.413879599,20.04576974,,68.43416198,0
30,,46.22050369,0.42632919799999996,0.218424641,,,,295.3902843,0
31,,31.813435300000002,3.15342787,16.26118785,,,4.27320931,,1
32,115.3671875,48.80171473,,-0.131439017,,14.80478961,8.858354116000001,,0
33,96.3671875,,,,2.816889632,,8.552782935,87.72310617,0
34,,44.81317283,,0.6377640410000001,,16.29618806,,102.32297829999999,0
