,0,1,2,3,4,5,6,class
0,-39.0,-57.0,-50.0,,,,-79.0,1
1,-62.0,,,-65.0,-68.0,-87.0,,0
2,,,,-55.0,-60.0,-82.0,-84.0,2
3,,-61.0,,,-54.0,,,3
4,,-50.0,,-67.0,-65.0,,,0
5,-38.0,,-53.0,-40.0,-63.0,,,1
6,,,,,,-85.0,,0
7,-39.0,-59.0,-57.0,-42.0,-75.0,,-74.0,1
8,,,-51.0,-57.0,,,,3
9,,-57.0,,-20.0,,,,1
10,-57.0,,-49.0,-64.0,-52.0,-88.0,-81.0,3
11,-63.0,-58.0,-56.0,-66.0,-73.0,-87.0,,0
12,,-57.0,-54.0,-65.0,,,-88.0,3
13,-52.0,,-56.0,-49.0,,,,2
14,-65.0,-56.0,,,-68.0,-82.0,,0
15,-63.0,,,-63.0,-45.0,-92.0,,3
16,,-52.0,-53.0,-43.0,-68.0,-79.0,,2
17,,,-52.0,,-60.0,,-77.0,2
18,-37.0,-49.0,,,-62.0,-64.0,-71.0,1
19,,-60.0,,,,-84.0,,0
20,-56.0,-48.0,,-62.0,-43.0,-83.0,,3
21,-62.0,,-58.0,-63.0,,-85.0,,0
22,-67.0,-57.0,,-71.0,-75.0,,-87.0,0
23,,-48.0,-59.0,,,-84.0,-77.0,0
24,-41.0,-58.0,,-41.0,-73.0,,,1
25,,-61.0,-61.0,-37.0,,,,1
26,-41.0,,,,-60.0,,-72.0,1
27,,,,-59.0,-62.0,-81.0,-83.0,0
28,,-59.0,,,-74.0,-88.0,,0
29,,-52.0,,,,-91.0,,3
30,,-57.0,,-59.0,-50.0,,,3
31,-59.0,,,,,-85.0,-87.0,3
32,,-54.0,,,-62.0,-66.0,,1
33,,-56.0,-58.0,,-80.0,,-70.0,1
34,-61.0,-59.0,,,-50.0,,,3
35,,,,,,-70.0,,1
36,,,-55.0,,,,,3
37,-59.0,-54.0,-59.0,-60.0,-50.0,,-86.0,3
38,-41.0,,-53.0,-38.0,,,-72.0,1
