,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,class
0,6.6,0.35,0.35,6.0,0.063,31.0,150.0,0.9953700000000001,3.1,0.47,9.4,0
1,7.3,0.2,0.26,1.6,0.04,36.0,123.0,0.9923799999999999,3.34,0.44,10.8,0
2,6.3,0.695,0.55,12.9,0.055999999999999994,58.0,252.0,0.9980600000000001,3.29,0.49,8.7,1
3,5.0,0.455,0.18,1.9,0.036000000000000004,33.0,106.0,0.98746,3.21,0.83,14.0,2
4,5.7,0.2,0.3,2.5,0.046,38.0,125.0,0.9927600000000001,3.34,0.5,9.9,0
5,7.6,0.27,0.25,13.9,0.05,45.0,199.0,0.9984,3.34,0.5,9.8,0
6,6.5,0.26,0.24,10.8,0.042,47.0,130.0,0.996,3.08,0.4,10.1,0
7,6.9,0.22,0.32,5.8,0.040999999999999995,20.0,119.0,0.9929600000000001,3.17,0.55,11.2,0
8,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,1
9,7.3,0.31,0.69,10.2,0.040999999999999995,58.0,160.0,0.9977,3.06,0.45,8.6,1
10,5.6,0.25,0.26,3.6,0.037000000000000005,18.0,115.0,0.9904,3.42,0.5,12.6,0
11,4.8,0.17,0.28,2.9,0.03,22.0,111.0,0.9902,3.38,0.34,11.3,2
12,6.8,0.32,0.18,7.5,0.040999999999999995,71.0,223.0,0.9959,3.14,0.41,8.9,1
13,7.9,0.22,0.24,4.6,0.044000000000000004,39.0,159.0,0.9927,2.99,0.28,11.5,0
14,6.4,0.18,0.48,4.0,0.18600000000000003,64.0,150.0,0.9945,3.06,0.4,9.3,1
15,7.1,0.28,0.44,1.8,0.032,32.0,107.0,0.9907,3.25,0.48,12.2,2
16,6.4,0.28,0.27,11.0,0.042,45.0,148.0,0.9978600000000001,3.14,0.46,8.7,1
17,7.2,0.08,0.49,1.3,0.05,18.0,148.0,0.9945,3.46,0.44,10.2,0
18,6.4,0.145,0.49,5.4,0.048,54.0,164.0,0.9946,3.56,0.44,10.8,0
19,6.3,0.23,0.31,1.5,0.022000000000000002,11.0,82.0,0.9892,3.3,0.4,12.9,2
20,6.4,0.22,0.31,13.9,0.04,57.0,135.0,0.99672,3.21,0.38,10.7,1
21,6.6,0.25,0.51,8.0,0.047,61.0,189.0,0.9960399999999999,3.22,0.49,9.2,1
22,7.2,0.34,0.23,8.9,0.105,22.0,155.0,0.99692,3.01,0.58,9.5,1
23,6.4,0.24,0.27,1.5,0.04,35.0,105.0,0.9891399999999999,3.13,0.3,12.4,0
24,6.6,0.31,0.38,16.05,0.057999999999999996,16.0,165.0,0.9997,3.38,0.6,9.2,1
25,7.0,0.32,0.29,4.9,0.036000000000000004,41.0,150.0,0.9916799999999999,3.38,0.43,12.2,0
